INSERT INTO `questions`(`question`, `questionid`, `option1`, `option2`, `option3`, `option4`, `answer`) VALUES 
('What is the capital of France?', 'q1', 'Berlin', 'Madrid', 'Paris', 'Rome', 2),
('Which planet is known as the Red Planet?', 'q2', 'Earth', 'Mars', 'Jupiter', 'Venus', 1),
('What is the largest ocean on Earth?', 'q3', 'Atlantic Ocean', 'Indian Ocean', 'Arctic Ocean', 'Pacific Ocean', 3),
('Who wrote "To Kill a Mockingbird"?', 'q4', 'Harper Lee', 'J.K. Rowling', 'Ernest Hemingway', 'Jane Austen', 0),
('What is the chemical symbol for water?', 'q5', 'O2', 'CO2', 'H2O', 'H2', 2),
('In which year did the Titanic sink?', 'q6', '1905', '1912', '1915', '1920', 1),
('Which country is known as the Land of the Rising Sun?', 'q7', 'China', 'South Korea', 'Japan', 'Thailand', 2),
('What is the hardest natural substance on Earth?', 'q8', 'Gold', 'Iron', 'Diamond', 'Platinum', 2),
('Who painted the Mona Lisa?', 'q9', 'Vincent van Gogh', 'Leonardo da Vinci', 'Pablo Picasso', 'Claude Monet', 1),
('What is the square root of 64?', 'q10', '6', '7', '8', '9', 2),
('Which element has the atomic number 1?', 'q11', 'Helium', 'Oxygen', 'Hydrogen', 'Nitrogen', 2),
('What is the longest river in the world?', 'q12', 'Amazon River', 'Nile River', 'Yangtze River', 'Mississippi River', 1),
('Which planet is closest to the sun?', 'q13', 'Venus', 'Earth', 'Mars', 'Mercury', 3),
('What is the main ingredient in guacamole?', 'q14', 'Tomato', 'Avocado', 'Onion', 'Pepper', 1),
('Who developed the theory of relativity?', 'q15', 'Isaac Newton', 'Albert Einstein', 'Nikola Tesla', 'Galileo Galilei', 1),
('What is the smallest prime number?', 'q16', '1', '2', '3', '5', 1),
('Which organ is responsible for pumping blood through the body?', 'q17', 'Lungs', 'Liver', 'Heart', 'Kidneys', 2),
('Who is the author of the Harry Potter series?', 'q18', 'J.K. Rowling', 'Stephen King', 'J.R.R. Tolkien', 'George R.R. Martin', 0),
('What is the capital of Japan?', 'q19', 'Seoul', 'Beijing', 'Tokyo', 'Bangkok', 2),
('What is the tallest mountain in the world?', 'q20', 'K2', 'Mount Kilimanjaro', 'Mount Everest', 'Denali', 2),
('Which element has the chemical symbol Na?', 'q21', 'Nitrogen', 'Sodium', 'Neon', 'Nickel', 1),
('Who was the first President of the United States?', 'q22', 'Abraham Lincoln', 'George Washington', 'Thomas Jefferson', 'John Adams', 1),
('What is the largest planet in our solar system?', 'q23', 'Saturn', 'Jupiter', 'Uranus', 'Neptune', 1),
('What is the main language spoken in Brazil?', 'q24', 'Spanish', 'Portuguese', 'English', 'French', 1),
('Who is known as the "Father of Computers"?', 'q25', 'Alan Turing', 'Charles Babbage', 'Bill Gates', 'Steve Jobs', 1),
('What is the boiling point of water in Celsius?', 'q26', '90°C', '100°C', '110°C', '120°C', 1),
('Who wrote "1984"?', 'q27', 'George Orwell', 'Aldous Huxley', 'Ray Bradbury', 'Jules Verne', 0),
('Which gas do plants absorb from the atmosphere?', 'q28', 'Oxygen', 'Nitrogen', 'Carbon Dioxide', 'Helium', 2),
('What is the smallest country in the world?', 'q29', 'Monaco', 'San Marino', 'Vatican City', 'Liechtenstein', 2),
('Which planet is known as the "Morning Star"?', 'q30', 'Mars', 'Venus', 'Jupiter', 'Saturn', 1),
('Who discovered penicillin?', 'q31', 'Marie Curie', 'Albert Einstein', 'Alexander Fleming', 'Isaac Newton', 2),
('What is the currency of Japan?', 'q32', 'Yuan', 'Won', 'Yen', 'Dollar', 2),
('Who is the Greek god of the sea?', 'q33', 'Zeus', 'Hades', 'Poseidon', 'Apollo', 2),
('What is the largest desert in the world?', 'q34', 'Sahara Desert', 'Gobi Desert', 'Arabian Desert', 'Antarctic Desert', 3),
('Which country is famous for its pyramids?', 'q35', 'Mexico', 'India', 'Greece', 'Egypt', 3),
('Who wrote the play "Romeo and Juliet"?', 'q36', 'Christopher Marlowe', 'William Shakespeare', 'George Bernard Shaw', 'Oscar Wilde', 1),
('What is the chemical symbol for gold?', 'q37', 'Au', 'Ag', 'Pb', 'Fe', 0),
('Which is the longest bone in the human body?', 'q38', 'Humerus', 'Femur', 'Tibia', 'Fibula', 1),
('What is the main ingredient in traditional Japanese miso soup?', 'q39', 'Soybeans', 'Rice', 'Seaweed', 'Fish', 0),
('Who developed the polio vaccine?', 'q40', 'Louis Pasteur', 'Alexander Fleming', 'Jonas Salk', 'Edward Jenner', 2),
('What is the capital city of Australia?', 'q41', 'Sydney', 'Melbourne', 'Canberra', 'Perth', 2),
('Which ocean is the smallest?', 'q42', 'Atlantic Ocean', 'Indian Ocean', 'Arctic Ocean', 'Southern Ocean', 2),
('What is the hardest rock?', 'q43', 'Granite', 'Basalt', 'Marble', 'Diamond', 3),
('Who painted "Starry Night"?', 'q44', 'Claude Monet', 'Vincent van Gogh', 'Pablo Picasso', 'Salvador Dali', 1),
('Which is the closest star to Earth?', 'q45', 'Alpha Centauri', 'Proxima Centauri', 'Sirius', 'Sun', 3),
('What is the freezing point of water in Fahrenheit?', 'q46', '32°F', '0°F', '100°F', '212°F', 0),
('Who wrote "Pride and Prejudice"?', 'q47', 'Charlotte Bronte', 'Jane Austen', 'Emily Bronte', 'Mary Shelley', 1),
('What is the most abundant gas in the Earth\'s atmosphere?', 'q48', 'Oxygen', 'Hydrogen', 'Nitrogen', 'Carbon Dioxide', 2),
('Which organ is responsible for producing insulin?', 'q49', 'Liver', 'Pancreas', 'Kidneys', 'Stomach', 1),
('What is the capital of Canada?', 'q50', 'Toronto', 'Vancouver', 'Ottawa', 'Montreal', 2),
('Who discovered gravity?', 'q51', 'Albert Einstein', 'Galileo Galilei', 'Nikola Tesla', 'Isaac Newton', 3),
('Which planet is known for its rings?', 'q52', 'Earth', 'Mars', 'Jupiter', 'Saturn', 3),
('Who invented the telephone?', 'q53', 'Thomas Edison', 'Alexander Graham Bell', 'Nikola Tesla', 'Guglielmo Marconi', 1),
('What is the capital city of Italy?', 'q54', 'Venice', 'Florence', 'Rome', 'Milan', 2),
('Which is the fastest land animal?', 'q55', 'Lion', 'Cheetah', 'Tiger', 'Leopard', 1),
