INSERT INTO `questions`(`question`, `questionid`, `option1`, `option2`, `option3`, `option4`, `answer`, `difficulty`) VALUES 
('What is the capital of France?', 'q1', 'Berlin', 'Madrid', 'Paris', 'Rome', 2, 'easy'),
('Which planet is known as the Red Planet?', 'q2', 'Earth', 'Mars', 'Jupiter', 'Venus', 1, 'easy'),
('What is the largest ocean on Earth?', 'q3', 'Atlantic Ocean', 'Indian Ocean', 'Arctic Ocean', 'Pacific Ocean', 3, 'medium'),
('Who wrote "To Kill a Mockingbird"?', 'q4', 'Harper Lee', 'J.K. Rowling', 'Ernest Hemingway', 'Jane Austen', 0, 'medium'),
('What is the chemical symbol for water?', 'q5', 'O2', 'CO2', 'H2O', 'H2', 2, 'easy'),
('In which year did the Titanic sink?', 'q6', '1905', '1912', '1915', '1920', 1, 'medium'),
('Which country is known as the Land of the Rising Sun?', 'q7', 'China', 'South Korea', 'Japan', 'Thailand', 2, 'easy'),
('What is the hardest natural substance on Earth?', 'q8', 'Gold', 'Iron', 'Diamond', 'Platinum', 2, 'easy'),
('Who painted the Mona Lisa?', 'q9', 'Vincent van Gogh', 'Leonardo da Vinci', 'Pablo Picasso', 'Claude Monet', 1, 'easy'),
('What is the square root of 64?', 'q10', '6', '7', '8', '9', 2, 'easy'),
('Which element has the atomic number 1?', 'q11', 'Helium', 'Oxygen', 'Hydrogen', 'Nitrogen', 2, 'easy'),
('What is the longest river in the world?', 'q12', 'Amazon River', 'Nile River', 'Yangtze River', 'Mississippi River', 1, 'medium'),
('Which planet is closest to the sun?', 'q13', 'Venus', 'Earth', 'Mars', 'Mercury', 3, 'easy'),
('What is the main ingredient in guacamole?', 'q14', 'Tomato', 'Avocado', 'Onion', 'Pepper', 1, 'easy'),
('Who developed the theory of relativity?', 'q15', 'Isaac Newton', 'Albert Einstein', 'Nikola Tesla', 'Galileo Galilei', 1, 'medium'),
('What is the smallest prime number?', 'q16', '1', '2', '3', '5', 1, 'easy'),
('Which organ is responsible for pumping blood through the body?', 'q17', 'Lungs', 'Liver', 'Heart', 'Kidneys', 2, 'easy'),
('Who is the author of the Harry Potter series?', 'q18', 'J.K. Rowling', 'Stephen King', 'J.R.R. Tolkien', 'George R.R. Martin', 0, 'easy'),
('What is the capital of Japan?', 'q19', 'Seoul', 'Beijing', 'Tokyo', 'Bangkok', 2, 'easy'),
('What is the tallest mountain in the world?', 'q20', 'K2', 'Mount Kilimanjaro', 'Mount Everest', 'Denali', 2, 'easy'),
('Which element has the chemical symbol Na?', 'q21', 'Nitrogen', 'Sodium', 'Neon', 'Nickel', 1, 'medium'),
('Who was the first President of the United States?', 'q22', 'Abraham Lincoln', 'George Washington', 'Thomas Jefferson', 'John Adams', 1, 'easy'),
